推數	噓數	文章分數	文章作者	文章名稱	發表時間
25	4	21	Rusnake5566 (魯蛇+56 PTT最強帳號)	[問卦] 兩個候選人選前一個月同時陣亡的可能性	Fri Oct  2 13:56:39 2020
11	11	0	LoveMakeLove (ボケ)	[新聞]江啟臣：兩岸是不對稱的戰爭 從募兵改徵兵	Wed Oct  7 18:53:08 2020
1	1	0	Asce (Excalibur)	[新聞] 高加索血戰破百死：亞美尼亞禁止役齡男	Fri Oct  2 13:07:43 2020
20	0	20	MintSu (Simon)	[問卦] 如果川普老婆死於武漢肺炎會怎麼樣？	Fri Oct  2 13:30:55 2020
31	2	29	seiya2000 (風見)	[問卦] 為什麼古代生物體型可以長到這麼大？	Fri Oct  2 12:35:18 2020
106	6	100	kasumi5566 (霞)	[問卦] 支那女生是不是都沒錢修補衣服	Fri Oct  2 13:43:25 2020
0	0	0	aasawfish ()	[問卦] 今天為什麼要降半旗	Wed Oct  7 17:34:21 2020
3	3	0	douCai (D能統粉)	[問卦] 八卦板的問卦484都毫無意義?	Fri Oct  2 12:46:14 2020
11	27	-16	starport (輕鬆看)	[新聞] 川普夫婦確診了！網友卻認為「案情不單	Fri Oct  2 14:30:34 2020
6	0	6	trolleybus99 (不要問)	[問卦] 習大大現在在想什麼	Fri Oct  2 14:07:53 2020
4	7	-3	HTC92 (中国台湾人的驕傲-92共識)	[問卦] 正妹讀大學時  大概會吃幾根香腸?	Wed Oct  7 18:41:32 2020
2	4	-2	Huffman (David)	[問卦] 美帝統領中瘟疫了 現在是解放台灣時候?	Fri Oct  2 13:20:56 2020
3	0	3	smallpig02 (小豬二號)	[問卦] 美軍、參聯會現在想什麼?	Fri Oct  2 14:30:49 2020
2	4	-2	hk410050 (A柏)	[新聞] 國際藝文人士來台可申請專案縮短隔離 國	Wed Oct  7 16:53:31 2020
36	4	32	tennoji2003 ()	[問卦] 隨便說三個你會的做愛技巧！	Wed Oct  7 17:55:20 2020
4	0	4	XDDDpupu5566 (XDpu56家族)	[問卦] 亡國之君在想什麼？	Fri Oct  2 14:13:42 2020
