推數,噓數,文章分數,文章作者,文章名稱,發表時間
25,4,21,Rusnake5566 (魯蛇+56 PTT最強帳號),[問卦] 兩個候選人選前一個月同時陣亡的可能性,Fri Oct  2 13:56:39 2020
11,11,0,LoveMakeLove (ボケ),[新聞]江啟臣：兩岸是不對稱的戰爭 從募兵改徵兵,Wed Oct  7 18:53:08 2020
20,0,20,MintSu (Simon),[問卦] 如果川普老婆死於武漢肺炎會怎麼樣？,Fri Oct  2 13:30:55 2020
31,2,29,seiya2000 (風見),[問卦] 為什麼古代生物體型可以長到這麼大？,Fri Oct  2 12:35:18 2020
106,6,100,kasumi5566 (霞),[問卦] 支那女生是不是都沒錢修補衣服,Fri Oct  2 13:43:25 2020
11,27,-16,starport (輕鬆看),[新聞] 川普夫婦確診了！網友卻認為「案情不單,Fri Oct  2 14:30:34 2020
6,0,6,trolleybus99 (不要問),[問卦] 習大大現在在想什麼,Fri Oct  2 14:07:53 2020
2,4,-2,hk410050 (A柏),[新聞] 國際藝文人士來台可申請專案縮短隔離 國,Wed Oct  7 16:53:31 2020
36,4,32,tennoji2003 (),[問卦] 隨便說三個你會的做愛技巧！,Wed Oct  7 17:55:20 2020
4,0,4,XDDDpupu5566 (XDpu56家族),[問卦] 亡國之君在想什麼？,Fri Oct  2 14:13:42 2020
4,3,1,E24056823 (RAINFAULT),[問卦] 現在新聞都喜歡用什麼字眼啊,Fri Oct  2 13:25:47 2020
7,2,5,hhuuu (hhhh),[問卦] 你第一眼直覺這個能防螞蟻嗎,Wed Oct  7 17:30:27 2020
149,14,135,gogopacer (gogopacer),[問卦] 大安區的便當這樣多少？,Wed Oct  7 18:07:59 2020
2,2,0,WaWa3 (寂寞的麻糬),[問卦] 泌尿科找女醫師，最後向台女露鳥的機會？,Fri Oct  2 11:32:58 2020
10,0,10,ccf52881 (ccf52881),[新聞] 新莊、樹林周邊電桿全面地下化 耗資9億54,Wed Oct  7 16:42:00 2020
4,0,4,zalora (lara),[新聞] 印度邊境布防巡航導彈目標鎖解放軍西藏,Fri Oct  2 12:59:39 2020
94,29,65,www90173 (明鏡),[問卦] 華堡是不是屌打大麥克,Wed Oct  7 16:26:18 2020
8,6,2,cimo764 (蘋果西打),[新聞] 扯！台中發獎狀竟印中國民國　師：原來,Wed Oct  7 19:37:02 2020
4,0,4,a12345x (到不了終點),[問卦] 台灣的印度人多嗎,Fri Oct  2 12:49:40 2020
56,2,54,Conan5566 (連續殺人),[問卦] 川普遺書會寫什麼？,Fri Oct  2 15:01:05 2020
2,6,-4,posen2012 (posen),[問卦] 阿福一字馬484很香啊？,Wed Oct  7 17:20:27 2020
8,2,6,ericf129 (☆小艾克★),[問卦] 有沒有國慶煙火超屌的八卦？,Wed Oct  7 16:13:15 2020
8,10,-2,keane9112 (拎北逮頑郎 拎北反支那啦),[問卦] 那些質疑魏如萱的是否沒看到這段才質疑,Wed Oct  7 16:47:45 2020
4,0,4,aure0914 (tunik),[問卦] 如果川普在選前掛掉會怎樣？,Fri Oct  2 14:46:55 2020
10,0,10,cklovework (ckcck休。),[問卦] 65歲老人可以湊到一個輕裝師嗎？,Wed Oct  7 19:56:55 2020
5,0,5,sookie (宣醬),[新聞] 最新Chromecast搭載Google TV與遙控器,Wed Oct  7 19:05:05 2020
9,1,8,faceloser (臉輸哥),[問卦] 如果川普跟拜登都在選前病逝？,Fri Oct  2 13:29:51 2020
2,2,0,jiouje (JioUje),[問卦] 洗頭妹 幫我洗頭帶手套？？？？,Wed Oct  7 21:20:19 2020
11,3,8,jerrysuper (super),[問卦] 機車吵爸媽出錢買的在想什麼？,Fri Oct  2 12:45:31 2020
26,3,23,jasonlin2100 (jasonlin),[問卦] 湖口一堆流氓8+9？,Wed Oct  7 18:39:50 2020
11,3,8,abcde010710 (跟著風向走的肥宅),[問卦] 林俊傑音樂功力怎麼樣,Wed Oct  7 17:16:44 2020
4,0,4,hmt17 (Popo:(bﾟ▽ﾟ)b),[新聞]《惡靈古堡》電影再啟卡司曝光！Netfix影,Wed Oct  7 21:20:51 2020
30,1,29,wizardfizban (瘋法師),[新聞] 萊豬文宣竟進入北市7國小 北市教育局：確,Wed Oct  7 20:41:42 2020
12,0,12,ibox5566 (I盒子5566),[問卦] 今天美股會熔斷嗎？,Fri Oct  2 13:09:18 2020
12,4,8,ron19971997 (安安),[問卦] 台北車站真的算迷宮嗎？,Wed Oct  7 16:47:55 2020
1,3,-2,powyo (光子郎),[問卦] 排骨酥湯+湯圓 這樣吃會很客家嗎,Fri Oct  2 13:12:15 2020
32,7,25,tw689 (台灣689),[問卦] 住在陽明山上有什麼優點？,Wed Oct  7 20:16:57 2020
6,2,4,stock5566 (股神56),[問卦] 活過2020年484能嘴一輩子？,Fri Oct  2 13:33:39 2020
1,0,1,showlive0214 (凡艾草),[問卦] 川普確診是不是八奇的思考力領域,Fri Oct  2 14:17:26 2020
9,1,8,underwood (安德伍德),[問卦] 有人只能靠年終存錢的ㄇ,Fri Oct  2 12:11:08 2020
1,0,1,aabbcc520 (U質文),[問卦] 請問女同事問我要不要去同事婚禮的八卦,Fri Oct  2 14:57:45 2020
6,3,3,nissan168 (pingGO),[問卦] 坑殺四十萬趙國降卒？,Fri Oct  2 12:47:02 2020
9,2,7,lotudi (憶苦方知思甜),[問卦]低碳飲食的狀態下有辦法不容易肚子餓？,Wed Oct  7 17:54:03 2020
10,0,10,LeonardoChen (LeonardoChen),[問卦] 亂倫的黑數484很高？,Wed Oct  7 16:35:19 2020
0,0,0,zzyyxx77 (討噓大師77),[問卦] 騎到新竹宇老 再來要幹嗎？,Fri Oct  2 15:37:17 2020
117,15,102,Quiff (in the Shell),[爆卦] 拜登領先擴大至21%！,Wed Oct  7 17:52:26 2020
1,0,1,tangqingcai (燙青菜),[問卦] 武漢病毒現在在想什麼？,Fri Oct  2 13:21:56 2020
25,6,19,Allen1096 (慾望越大，硬碟越大),[問卦] 有沒有新竹火車站的八卦,Wed Oct  7 18:30:59 2020
12,14,-2,Mayinggo (甲甲跟柯糞一起下去),[新聞] 變態直排輪教練！帶7男童拍裸照打飛機,Fri Oct  2 12:29:23 2020
5,13,-8,nk11208z (小魯),[新聞] 戰爭時誰收屍？PTT鄉民揭神秘內幕：大賺,Fri Oct  2 12:02:20 2020
3,4,-1,Holmes7 (El Mundo),[問卦] 我哥也是勞工為何不嫌退休金少？,Wed Oct  7 19:18:30 2020
5,2,3,saisai9230 (小為),[新聞] 延攬柯文哲人馬 林右昌證實前北市府發言人林昆鋒接綜合發展處長,Wed Oct  7 20:14:42 2020
30,5,25,Usayhiisayha (【〖《〔（{`}）〕》〗】),[問卦] 海陸全餐加蔥蛋林志玲吃的完嗎？,Fri Oct  2 11:53:04 2020
5,0,5,sam197665 (東哥),[問卦] 川普對上羅禮士，誰會贏？,Wed Oct  7 20:39:58 2020
